number,key,question,options
,CONCERNGRPd_W49,"How concerned are you, if at all, about how much personal information the companies you buy things from might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
,CONCERNGRPe_W49,"How concerned are you, if at all, about how much personal information your friends and family might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
,CONCERNGRPf_W49,"How concerned are you, if at all, about how much personal information the social media sites you use might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
,CONTROLGRPa_W49,"How much control, if any, do you think you have over who can access your posts and activities on social media?","['A lot of control', 'A little control', 'No control', 'Refused']"
,CONTROLGRPb_W49,"How much control, if any, do you think you have over who can access the search terms you use online?","['A lot of control', 'A little control', 'No control', 'Offline: does not have internet', 'Refused']"
,CONTROLGRPc_W49,"How much control, if any, do you think you have over who can access the purchases you've made, either online or in person?","['A lot of control', 'A little control', 'No control', 'Refused']"
,CONTROLGRPd_W49,"How much control, if any, do you think you have over who can access your physical location?","['A lot of control', 'A little control', 'No control', 'Refused']"
,CONTROLGRPe_W49,"How much control, if any, do you think you have over who can access the websites you visit?","['A lot of control', 'A little control', 'No control', 'Offline: does not have internet', 'Refused']"
,CONTROLGRPf_W49,"How much control, if any, do you think you have over who can access the private conversations you've had online or using text messaging?","['A lot of control', 'A little control', 'No control', 'Refused']"
,PP1_W49,How often are you asked to agree to the terms and conditions of a company's privacy policy?,"['Almost daily', 'About once a week', 'About once a month', 'Less frequently', 'Never', 'Refused']"
,PP2_W49,"When you are asked to agree to a company's privacy policy, how often do you read it before agreeing to it?","['Always', 'Often', 'Sometimes', 'Never', 'Refused']"
,PP3_W49,"When you read a privacy policy, what do you typically do?","['Read it all the way through', 'Read it part of the way through', 'Glance over it without reading it closely', 'Refused']"
,PP4_W49,How much do you typically understand the privacy policies you read?,"['A great deal', 'Some', 'Very little', 'Not at all', 'Refused']"
,PP5a_W49,"How confident are you, if at all, that companies will follow what their privacy policies say they will do with your personal information?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not confident at all', 'Refused']"
,PP5b_W49,"How confident are you, if at all, that companies will promptly notify you if your personal data has been misused or compromised?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not confident at all', 'Refused']"
,PP5c_W49,"How confident are you, if at all, that companies will publicly admit mistakes and take responsibility when they misuse or compromise their users' personal data?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not confident at all', 'Refused']"
,PP5d_W49,"How confident are you, if at all, that companies will use your personal information in ways you will feel comfortable with?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not confident at all', 'Refused']"
,PP5e_W49,"How confident are you, if at all, that companies will be held accountable by the government if they misuse or compromise your data?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not confident at all', 'Refused']"
,PP6a_W49,"How comfortable are you, if at all, with companies using your personal data to help improve their fraud prevention systems?","['Very comfortable', 'Somewhat comfortable', 'Not too comfortable', 'Not comfortable at all', 'Refused']"
,PP6b_W49,"How comfortable are you, if at all, with companies using your personal data sharing it with outside groups doing research that might help improve society?","['Very comfortable', 'Somewhat comfortable', 'Not too comfortable', 'Not comfortable at all', 'Refused']"
,PP6c_W49,"How comfortable are you, if at all, with companies using your personal data to help them develop new products?","['Very comfortable', 'Somewhat comfortable', 'Not too comfortable', 'Not comfortable at all', 'Refused']"
,PRIVACYREG_W49,How much do you feel you understand the laws and regulations that are currently in place to protect your data privacy?,"['A great deal', 'Some', 'Very little', 'Not at all', 'Refused']"
,GOVREGV1_W49,How much government regulation of what companies can do with their customers' personal information do you think there should be?,"['More regulation', 'Less regulation', 'About the same amount', 'Refused']"
,GOVREGV2_W49,Which of the following do you think would be a more effective way to safeguard people's personal information?,"['Better tools for allowing people to control their personal information themselves', ""Stronger laws governing what companies can and cannot do with people's personal information"", 'Refused']"
,SHARE1_W49,Have you recently decided not to use a product or service because you were worried about how much personal information would be collected about you?,"['Yes, have done this', 'No, have not done this', 'Refused']"
,PWMAN_W49,"Do you use a password manager, such as LastPass or iCloud Keychain, to help keep track of your online passwords?","['Yes', 'No', 'Refused']"
,PWMAN2_W49,What is the main reason you do not use a password manager?,"[""Don't know what that is"", 'My passwords are secure enough', ""Don't need it"", 'Too expensive', 'Too complicated', ""Don't trust them"", ""Don't think they are effective"", 'Other reason', 'Offline: does not have internet', 'Refused']"
,SMARTPHONE_W49,Do you have a smartphone?,"['Yes', 'No', 'Refused']"
,SMARTAPP_W49,How do you typically update the apps on your smartphone?,"['Set them to update automatically', 'Update them yourself as soon as you are notified a new version is available', ""Update them yourself whenever it's convenient"", 'Never install app updates', 'Refused']"
,PUBLICDATA_W49,Today a wide range of information about people is searchable online. Do you think it is more important for people to have the ability to,"['Discover potentially useful information about others', 'Keep things about themselves that might be potentially damaging from being searchable online', 'Refused']"
,RTBFa_W49,"Do you think that all Americans should have the right to have data collected by law enforcement, such as criminal records or mugshots removed from public online search results?","['Yes, should be able to remove this from online searches', 'No, should not be able to remove this from online searches', 'Refused']"
,RTBFb_W49,Do you think that all Americans should have the right to have information about their employment history or work record removed from public online search results?,"['Yes, should be able to remove this from online searches', 'No, should not be able to remove this from online searches', 'Refused']"
,RTBFc_W49,Do you think that all Americans should have the right to have negative media coverage removed from public online search results?,"['Yes, should be able to remove this from online searches', 'No, should not be able to remove this from online searches', 'Refused']"
,RTBFd_W49,Do you think that all Americans should have the right to have potentially embarrassing photos or videos removed from public online search results?,"['Yes, should be able to remove this from online searches', 'No, should not be able to remove this from online searches', 'Refused']"
,RTDa_W49,"Do you think that all Americans should have the right to have the following data about themselves be permanently deleted by the people or organizations who have that information? Data collected by law enforcement, such as criminal records or mugshots","['Yes, should have the right to have this deleted', 'No, should not have  the right to have this deleted', 'Refused']"
,RTDb_W49,Do you think that all Americans should have the right to have the following data about themselves be permanently deleted by the people or organizations who have that information? Potentially embarrassing photos or videos,"['Yes, should have the right to have this deleted', 'No, should not have  the right to have this deleted', 'Refused']"
,RTDc_W49,Do you think that all Americans should have the right to have the following data about themselves be permanently deleted by the people or organizations who have that information? Medical data collected by a health provider,"['Yes, should have the right to have this deleted', 'No, should not have  the right to have this deleted', 'Refused']"
,RTDd_W49,Do you think that all Americans should have the right to have the following data about themselves be permanently deleted by the people or organizations who have that information? Financial data collected by their tax preparer,"['Yes, should have the right to have this deleted', 'No, should not have  the right to have this deleted', 'Refused']"
,PROFILE3_W49,Do you ever see advertisements or solicitations that appear to be based on a profile that has been made of you using your personal data?,"['Yes, frequently', 'Yes, on occasion', 'No', 'Not sure', 'Refused']"
,PROFILE5_W49,"In general, how well do these advertisements accurately reflect your actual interests and characteristics?","['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'Refused']"
,DATAUSEa_W49,Do you think the following uses of data/information are acceptable or unacceptable? The government collecting data about all Americans to assess who might be a potential terrorist threat,"['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,DATAUSEb_W49,Do you think the following uses of data/information are acceptable or unacceptable? Poorly performing schools sharing data about their students with a nonprofit group seeking to help improve educational outcomes,"['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,DATAUSEc_W49,Do you think the following uses of data/information are acceptable or unacceptable? DNA testing companies sharing their customers' genetic data with law enforcement agencies in order to help solve crimes,"['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,DATAUSEd_W49,Do you think the following uses of data/information are acceptable or unacceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease,"['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,DATAUSEe_W49,"Do you think the following uses of data/information are acceptable or unacceptable? A social media company monitoring its users' posts for signs of depression, so they can identify people who are at risk of self-harm and connect them to counsel","['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,DATAUSEf_W49,Do you think the following uses of data/information are acceptable or unacceptable? Makers of smart speakers sharing audio recordings of their customers with law enforcement to help with criminal investigations,"['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,FACE1_W49,How much have you heard or read about the development of automated facial recognition technology that can identify someone based on a picture or video that includes their face?,"['A lot', 'A little', 'Nothing at all', 'Refused']"
,FACE2a_W49,"Based on what you know, how effective do you think facial recognition technology is at accurately identifying individual people?","['Very effective', 'Somewhat effective', 'Not too effective', 'Not effective at all', 'Refused']"
,FACE2b_W49,"Based on what you know, how effective do you think facial recognition technology is at accurately assessing someone's gender?","['Very effective', 'Somewhat effective', 'Not too effective', 'Not effective at all', 'Refused']"
,FACE2c_W49,"Based on what you know, how effective do you think facial recognition technology is at accurately assessing someone's race?","['Very effective', 'Somewhat effective', 'Not too effective', 'Not effective at all', 'Refused']"
,FACE3a_W49,"How much, if at all, do you trust the following groups to use facial recognition technology responsibly? Advertisers","['A great deal', 'Somewhat', 'Not too much', 'Not at all', 'Refused']"
,FACE3b_W49,"How much, if at all, do you trust the following groups to use facial recognition technology responsibly? Technology companies","['A great deal', 'Somewhat', 'Not too much', 'Not at all', 'Refused']"
,FACE3c_W49,"How much, if at all, do you trust the following groups to use facial recognition technology responsibly? Law enforcement agencies","['A great deal', 'Somewhat', 'Not too much', 'Not at all', 'Refused']"
,FACE4a_W49,"In your opinion, is it acceptable or unacceptable to use facial recognition technology in the following situations? Law enforcement agencies assessing potential security threats in public spaces","['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,FACE4b_W49,"In your opinion, is it acceptable or unacceptable to use facial recognition technology in the following situations? Companies automatically tracking the attendance of their employees","['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,FACE4c_W49,"In your opinion, is it acceptable or unacceptable to use facial recognition technology in the following situations? Advertisers seeing how people respond to public advertising displays","['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,FACE4d_W49,"In your opinion, is it acceptable or unacceptable to use facial recognition technology in the following situations? Apartment building landlords tracking who enters or leaves their buildings","['Acceptable', 'Unacceptable', 'Not sure', 'Refused']"
,DB1a_W49,"In the last 12 months, have you had someone put fraudulent charges on your debit or credit card","['Yes', 'No', 'Refused']"
,DB1b_W49,"In the last 12 months, have you had someone take over your social media or email account without your permission","['Yes', 'No', 'Offline: does not have internet', 'Refused']"
,DB1c_W49,"In the last 12 months, have you had someone attempt to open a line of credit or apply for a loan using your name","['Yes', 'No', 'Refused']"
,SATLIFEa_W50,Please tell us whether you are satisfied or dissatisfied with your family life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,SATLIFEb_W50,Please tell us whether you are satisfied or dissatisfied with your social life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,SATLIFEc_W50,Please tell us whether you are satisfied or dissatisfied with your personal financial situation.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,SATLIFEd_W50,Please tell us whether you are satisfied or dissatisfied with your current job or career.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,FAMSURV1_W50,"At this point in your life, which of the following would be best for you personally?","['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']"
,FAMSURV2Ma_W50,"In general, how important, if at all, is being married in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Mb_W50,"In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Mc_W50,"In general, how important, if at all, is having children in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Md_W50,"In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Me_W50,"In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Wa_W50,"In general, how important, if at all, is being married in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Wb_W50,"In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Wc_W50,"In general, how important, if at all, is having children in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2Wd_W50,"In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV2We_W50,"In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']"
,FAMSURV3_W50,Do you think it is ever acceptable for an unmarried couple to live together?,"[""Yes, even if they don't plan to get married"", 'Yes, but only if they plan to get married', 'No, never acceptable', 'Refused']"
,FAMSURV4_W50,Which statement comes closer to your view?,"['Society is better off if couples who want to stay together long-term eventually get married', 'Society is just as well off if couples who want to stay together long-term decide not to marry', 'Refused']"
,FAMSURV5a_W50,"Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving being financially secure goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
,FAMSURV5b_W50,"Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving having a fulfilling sex life goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
,FAMSURV5c_W50,"Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving having social status goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
,FAMSURV5d_W50,"Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving being happy goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
,FAMSURV6_W50,"How do you feel about allowing unmarried couples to enter into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance or tax benefits?","['Strongly favor', 'Somewhat favor', 'Somewhat oppose', 'Strongly oppose', 'Refused']"
,FAMSURV7_W50,"Compared with couples who don't live together before marriage, do you think couples who do live together before marriage have a","['Better chance of having a successful marriage', 'Worse chance of having a successful marriage', ""Doesn't make much difference"", 'Refused']"
,FAMSURV8_W50,Which statement comes closer to your view?,"['Couples who are married do a better job raising children than couples who are living together but are not married', 'Couples who are living together but are not married can raise children just as well as married couples', 'Refused']"
,FAMSURV9a_W50,"How important, if at all, do you think it is for a person to be financially stable before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV9b_W50,"How important, if at all, do you think it is for a person to have a steady job before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV9c_W50,"How important, if at all, do you think it is for a person to buy a house before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV9e_W50,"How important, if at all, do you think it is for a person to be completely committed to their partner before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV10a_W50,"If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to be financially stable before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV10b_W50,"If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to have a steady job before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV10c_W50,"If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to buy a house before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV10e_W50,"If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to be completely committed to their partner before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
,FAMSURV11W_W50,What do you think is the ideal situation for women with young children?,"['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']"
,FAMSURV11M_W50,What do you think is the ideal situation for men with young children?,"['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']"
,FAMSURV12_W50,Thinking about parents of young adults ages 18 to 29,"['Too much for their adult children', 'Too little for their adult children', 'About the right amount', 'Refused']"
,MOTHER_W50,Is your mother living?,"['Yes', 'No', 'Refused']"
,FATHER_W50,Is your father living?,"['Yes', 'No', 'Refused']"
,SIB_W50,Do you have any brothers or sisters?,"['Yes, one', 'Yes, more than one', 'No, do not have any brothers or sisters', 'Refused']"
,REMARR_W50,Have you been married more than once?,"['Yes', 'No', 'Refused']"
,ENG_W50,Are you currently engaged to be married?,"['Yes, engaged', 'No, not engaged', 'Refused']"
,LWPT_W50,Are you currently living with a partner or boyfriend or girlfriend? By living together we mean that you are in a relationship and neither of you have a separate residence.,"['Yes', 'No', 'Refused']"
,MAR2_W50,Are you currently in a committed romantic relationship?,"['Yes', 'No', 'Refused']"
,FAMSURV16_W50,Which of the following best describes your current situation? Would you say you,"['Would like to be in a romantic relationship', ""Don't want to be in a romantic relationship"", ""Doesn't make much difference"", 'Refused']"
,FAMSURV17_W50,"Thinking about the adults in your life, who is the person you feel closest to?","['Your spouse', 'Your partner or boyfriend or girlfriend', 'An adult child', 'A sibling', 'Your mother', 'Your father', 'A friend', 'Another A family member', 'Someone else', 'Refused']"
,ADKIDS_W50,Do you have any children ages 18 to 29?,"['Yes, one child ages 18 to 29', 'Yes, more than one child ages 18 to 29', 'No children ages 18 to 29', 'Refused']"
,PAR1_W50,"In general, do you think you do","['Too much for your adult child(ren) ages 18 to 29', 'Too little for your adult child(ren) ages 18 to 29', 'About the right amount', 'Refused']"
,PAR2_W50,"In general, do you think your parents do mother does father does","['Too much for you', 'Too little for you', 'About the right amount', 'Refused']"
,ROMRELDUR_W50,How long have you been in your current romantic relationship?,"['Less than 3 months', '3 months to less than 6 months', '6 months to less than 1 year', '1 year to less than 3 years', '3 years to less than 5 years', '5 years or more', 'Refused']"
,MARRDUR_W50,Now thinking about your spouse how long have you and your spouse been married?,"['Less than one year', '1 year to less than 3 years', '3 years to less than 5 years', '5 years to less than 10 years', '10 years to less than 20 years', '20 years or more', 'Refused']"
,COHABDUR_W50,Now thinking about the partner you are currently living with how long have you and your partner been living together?,"['Less than one year', '1 year to less than 3 years', '3 years to less than 5 years', '5 years to less than 10 years', '10 years to less than 20 years', '20 years or more', 'Refused']"
,LWPSP_W50,Did you live with your current spouse before getting married?,"['Yes', 'No', 'Refused']"
,FAMSURV18A_W50,When you started living with your spouse did you think about it as a step toward marriage?,"['Yes, thought of it as a step toward marriage', 'No, did not think of it as a step toward marriage', 'Refused']"
,FAMSURV18B_W50,Were you and your spouse engaged to be married before you moved in together?,"['Yes, were engaged first', 'No, were not engaged first', 'Refused']"
,ROMRELSER_W50,How serious would you say your current romantic relationship is?,"['Very serious', 'Somewhat serious', 'Not too serious', 'Not at all serious', 'Refused']"
,FAMSURV19_W50,"Overall, would you say that things in your marriage/relationship are going","['Very well', 'Fairly well', 'Not too well', 'Not at all well', 'Refused']"
,FAMSURV20_W50,When you started living with your partner did you think about it as a step toward marriage?,"['Yes, thought of it as a step toward marriage', 'No, did not think of it as a step toward marriage', 'Refused']"
,FAMSURV21_W50,Were you and your partner engaged to be married before you moved in together?,"['Yes, were engaged first', 'No, were not engaged first', 'Refused']"
,FAMSURV22a_W50,"Thinking back to when you got married, how much, if at all, was love a reason you decided to get married?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV22b_W50,"Thinking back to when you got married, how much, if at all, was companionship a reason you decided to get married?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV22c_W50,"Thinking back to when you got married, how much, if at all, was you or your partner were pregnan a reason you decided to get married?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV22d_W50,"Thinking back to when you got married, how much, if at all, was wanted to have children someday a reason you decided to get married?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV22e_W50,"Thinking back to when you got married, how much, if at all, was it made sense financially a reason you decided to get married?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV22f_W50,"Thinking back to when you got married, how much, if at all, was it was convenient a reason you decided to get married?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV22g_W50,"Thinking back to when you got married, how much, if at all, was wanted to make a formal commitment a reason you decided to get married?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV23a_W50,"Thinking back to when you started living with your partner, how much, if at all, was love a reason you decided to move in together?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV23b_W50,"Thinking back to when you started living with your partner, how much, if at all, was companionship a reason you decided to move in together?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV23c_W50,"Thinking back to when you started living with your partner, how much, if at all, was you or your partner were pregnant a reason you decided to move in together?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV23d_W50,"Thinking back to when you started living with your partner, how much, if at all, was wanted to have children someday a reason you decided to move in together?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV23e_W50,"Thinking back to when you started living with your partner, how much, if at all, was it made sense financially a reason you decided to move in together?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV23f_W50,"Thinking back to when you started living with your partner, how much, if at all, was it was convenient a reason you decided to move in together?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV23g_W50,"Thinking back to when you started living with your partner, how much, if at all, was wanted to test your relationship a reason you decided to move in together?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,MARRYPREF1_W50,"Thinking about the future, would you say you","['Want to get married someday', ""Don't want to get married"", 'Are not sure if you want to get married', 'Refused']"
,MARRYPREF2_W50,"Thinking about the future, would you say you","['Want to get married again someday', ""Don't want to get married again"", 'Are not sure if you want to get married again', 'Refused']"
,FAMSURV25_W50,"How likely, if at all, is it that you and your partner will get married someday?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'Refused']"
,FAMSURV26a_W50,"How much pressure, if any, do you feel from your partner to marry your partner?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV26b_W50,"How much pressure, if any, do you feel from family members to marry your partner?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV26c_W50,"How much pressure, if any, do you feel from your friends to marry your partner?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV26d_W50,"How much pressure, if any, do you feel from society to marry your partner?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV27a_W50,"How much pressure, if any, did you feel from your partner to marry your partner after you moved in together?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV27b_W50,"How much pressure, if any, did you feel from family members to marry your partner after you moved in together?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV27c_W50,"How much pressure, if any, did you feel from your friends to marry your partner after you moved in together?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV27d_W50,"How much pressure, if any, did you feel from society to marry your partner after you moved in together?","['A lot of pressure', 'Some pressure', 'Not too much pressure', 'No pressure at all', 'Refused']"
,FAMSURV28_W50,Would you say most people in your family consider your spouse partner to be part of their family?,"['Yes', 'No', 'Refused']"
,FAMSURV29_W50,"How often, if ever, do you and your partner talk about getting married?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']"
,FAMSURV30a_W50,"How much, if at all, is your partner is not ready financially a reason why you are not engaged or married to your current partner?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV30b_W50,"How much, if at all, is you are not ready financially a reason why you are not engaged or married to your current partner?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV30c_W50,"How much, if at all, is your partner is not ready to make that kind of commitment a reason why you are not engaged or married to your current partner?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV30d_W50,"How much, if at all, is you are not ready to make that kind of commitment a reason why you are not engaged or married to your current partner?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV30e_W50,"How much, if at all, is you are not far enough along in your job or career a reason why you are not engaged or married to your current partner?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,FAMSURV30f_W50,"How much, if at all, is you are not sure your partner is the right person for you a reason why you are not engaged or married to your current partner?","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
,E5MOD_W50,"Is your spouse/partner now employed full-time, part-time or not employed?","['Full-time', 'Part-time', 'Not employed', 'Refused']"
,FAMSURV32a_W50,How do you feel about the way household chores are divided between you and your spouse/partner?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,FAMSURV32b_W50,How do you feel about your sex life?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,FAMSURV32c_W50,How do you feel about how well you and your spouse/partner communicate with each other?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,FAMSURV32d_W50,How do you feel about how well your spouse/partner balances work and their personal life?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,FAMSURV32e_W50,How do you feel about your spouse's/partner's approach to parenting?,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
,FAMSURV33a_W50,"How much, if at all, do you trust your spouse/partner to always tell you the truth","['A great deal', 'A fair amount', 'Not much', 'Not at all', 'Refused']"
,FAMSURV33b_W50,"How much, if at all, do you trust your spouse/partner to be faithful to you","['A great deal', 'A fair amount', 'Not much', 'Not at all', 'Refused']"
,FAMSURV33c_W50,"How much, if at all, do you trust your spouse/partner to handle money responsibly","['A great deal', 'A fair amount', 'Not much', 'Not at all', 'Refused']"
,FAMSURV33d_W50,"How much, if at all, do you trust your spouse/partner to Act in your best interest","['A great deal', 'A fair amount', 'Not much', 'Not at all', 'Refused']"
,FAMSURV34A_W50,How does being a working parent affect your ability to advance in your job or career?,"['Makes it easier', 'Makes it harder', ""Hasn't made a difference"", 'Refused']"
,FAMSURV34B_W50,How does being a working parent affect your ability to be a good parent?,"['Makes it easier', 'Makes it harder', ""Hasn't made a difference"", 'Refused']"
,FAMSURV35a_W50,Have you personally experienced the following because you were balancing work and parenting responsibilities? Needing to reduce your work hours,"['Yes, have experienced this', 'No, have not experienced this', 'Refused']"
,FAMSURV35b_W50,Have you personally experienced the following because you were balancing work and parenting responsibilities? Feeling like you couldn't give 100% at work,"['Yes, have experienced this', 'No, have not experienced this', 'Refused']"
,FAMSURV35c_W50,Have you personally experienced the following because you were balancing work and parenting responsibilities? Turning down a promotion,"['Yes, have experienced this', 'No, have not experienced this', 'Refused']"
,FAMSURV36a_W50,Have you personally experienced the following at work because you have children? Being passed over for a promotion,"['Yes, have experienced this', 'No, have not experienced this', 'Refused']"
,FAMSURV36b_W50,Have you personally experienced the following at work because you have children? Being passed over for an important assignment,"['Yes, have experienced this', 'No, have not experienced this', 'Refused']"
,FAMSURV36c_W50,Have you personally experienced the following at work because you have children? Being treated as if you weren't committed to your work,"['Yes, have experienced this', 'No, have not experienced this', 'Refused']"
,HAVEKIDS1_W50,"Thinking about the future, how likely, if at all, is it that you will have children someday?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'Refused']"
